"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"30213f1dbe581d8524bf28ff9b40be99","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae","JGI 0001001-H03",NA
"674c9e319118f35216374d183d997159","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae","JGI 0001001-H03",NA
"77ca10588762989af84666258ca395d0","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae",NA,NA
"cce163a308a5b8b0cbe375b1aa1a0846","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"6d86971ff4e149916aebe328b4602606","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41","uncultured proteobacterium"
"5e97405f58bdf3a15b44944af424b04c","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"ff2b9277e1c6a1c3cdde02a85f74fba6","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"c2ee1a9a6715d9390d47af609d33134c","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"08e1ab6fc7cb3148bb6471d625c087a7","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"bdfb1dd66847bf34a8759d45a407aabd","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"54395f8940136256992b98e0df0f11f8","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"b122b4e46dda9d6ec57a63947bbb54f2","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"5efd839bdb627a218862fe9112527aa2","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"632413e6d6aa77df3f9d584d6c7c07ff","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","uncultured",NA,NA
"37e5ceab7a605656a8508c3c6223ea4a","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","uncultured",NA,NA
"db1e29fc3cb61dad9a152d3dc2ea90f1","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","uncultured","Acidobacteria bacterium LWQ13","Acidobacteria bacterium LWQ13"
"fe42ab09f0a711bd5a17e9101fdb9939","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","uncultured",NA,NA
"090ab227ece45bbcaab1e166d06e8ef6","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Edaphobacter","uncultured Acidobacterium sp."
"0e1740453f61fc5bda28913b0f7ec2e4","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Edaphobacter",NA
"bc851c886fce3dee951562162c80eae6","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Edaphobacter",NA
"c968a24defa6cfdda5a32b764efdb51a","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)",NA,NA
"fbe0d80c41191077dd4c2cb02aac7105","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Granulicella","Edaphobacter sp."
"03649014667576d9bd67e9e3f89b2810","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)",NA,NA
"5edf80b0983f175485013ce5592aa6dd","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)",NA,NA
"f902947e368d991a7efdc0f90870e219","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","uncultured","Acidobacteria bacterium AB60"
"93f8cd1dfb674506637b21308aeffa69","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)",NA,NA
"a1b3ea439efaf7502be6b6e4f6184d53","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Acidipila",NA
"fa3cb9ccea6f452d207a773e3792eb0b","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)",NA,NA
"1d3377d99b8375d820db14cf9a8c236b","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)",NA,NA
"134d0be03e2cb34fbcd5842e9e2e0296","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Granulicella",NA
"cdbea3e0ef2a5c2f9c38d7b86fa6204f","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","uncultured","uncultured Armatimonadetes bacterium"
"bb53c40dd58053922a359f7025a84a44","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","uncultured",NA
"410cab75ed0edc949c3ffe264782adbd","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Occallatibacter","bacterium enrichment culture clone auto19_4W"
"47d2a6779ba029968259129b85a8dee4","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)",NA,NA
"7669fe2f2c8147f72de0e515e74a9448","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)",NA,NA
"cc4579376fabbe3bcf603ab73cd3f764","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Acidipila",NA
"9887488d5d70e99f8f5f620648700871","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)",NA,NA
"6369870f74b862dea4d7469a1dc82221","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)",NA,NA
"dd0dd45a6aca34c98b3d48d74211ac2a","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Occallatibacter","bacterium Ellin5239"
"61b6bdaf0355523dcac671ff20db7fb2","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)",NA,NA
"58829077c2ed0524e50589a49fa88ecc","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)",NA,NA
"16b6a9439691b4c3b62d5cca5ac3bdb5","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Occallatibacter",NA
"e5e363cca5e7d48406141f630ef2174f","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)",NA,NA
"2b2a858709f6c21f45482dfd1b825d6f","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)",NA,NA
"f7a363e1a0ec7b96117de3c8264b028c","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","uncultured",NA,NA
"528b3a25854201372f8f0cd3a49d5880","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Koribacteraceae","Candidatus Koribacter",NA
"45766525af9028bd697fe1d16461851f","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Koribacteraceae","Candidatus Koribacter",NA
"12969fd108e7c63adf487840336a56d4","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Koribacteraceae","Candidatus Koribacter",NA
"716e69a87980c62c23899ac89d76eb1a","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Koribacteraceae","Candidatus Koribacter",NA
"bd42c71f7c4b8e46c7fce65fef5e6ba5","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Koribacteraceae","Candidatus Koribacter",NA
"53a71680cf19b29472535136273e3ff4","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Koribacteraceae","Candidatus Koribacter",NA
"a42eff909f1c5d622675ac75cb036822","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","uncultured",NA,NA
"bc270c8b1acf5fe376d6b2b7d14f5636","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","uncultured",NA,NA
"4f230a7518848a40def3feb22ef723e5","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","uncultured",NA,NA
"b470d8179f7d5c054bf7b1a9ca5e13d6","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","uncultured",NA,NA
"376497f21a15c113190e953c2aa8f02e","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","uncultured",NA,NA
"635374b7198b2c9ad8a667bab9b9b5cc","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","uncultured",NA,NA
"2570d2a8b4c8c35f3eeb7f6ef3adf872","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","uncultured",NA,NA
"339592386e81334d453cca7f88e9ba96","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","uncultured","uncultured forest soil bacterium","uncultured forest soil bacterium"
