"","Location","Genotype","Block","Sample_Type","Sample_Type_Blanks_differentiated","Inbred_or_Hybrid","R1_Fastq_Name","R2_Fastq_Name","Experiment","Group"
"MMH-2GH-32Z","GH","Ph207xB73","2","Rhizosphere","Rhizosphere","Hybrid","MMH-2GH-32Z_S55_L001_R1_001.trimmed.fastq.gz","MMH-2GH-32Z_S55_L001_R2_001.trimmed.fastq.gz","GH","Rhizosphere_GH"
"END8Kb","IH","Mo17","1","Stalk","Stalk","Inbred","END8Kb_S218_L001_R1_001.fastq.gz","END8Kb_S218_L001_R2_001.fastq.gz","END","Stalk_END"
"END3Za","IH","HP301","0","Rhizosphere","Rhizosphere","Inbred","END3Za_S276_L001_R1_001.fastq.gz","END3Za_S276_L001_R2_001.fastq.gz","END","Rhizosphere_END"
"END11Ka","IH","B73xMo17","2","Stalk","Stalk","Hybrid","END11Ka_S208_L001_R1_001.fastq.gz","END11Ka_S208_L001_R2_001.fastq.gz","END","Stalk_END"
"MMH-2GH-9R","GH","Mo17xB73","0","Root","Root","Hybrid","MMH-2GH-9R_S78_L001_R1_001.trimmed.fastq.gz","MMH-2GH-9R_S78_L001_R2_001.trimmed.fastq.gz","GH","Root_GH"
"MMH-2GH-15K","GH","Ph207","0","Stalk","Stalk","Inbred","MMH-2GH-15K_S125_L001_R1_001.trimmed.fastq.gz","MMH-2GH-15K_S125_L001_R2_001.trimmed.fastq.gz","GH","Stalk_GH"
"MMH-2GH-29Z","GH","B73xPh207","1","Rhizosphere","Rhizosphere","Hybrid","MMH-2GH-29Z_S52_L001_R1_001.trimmed.fastq.gz","MMH-2GH-29Z_S52_L001_R2_001.trimmed.fastq.gz","GH","Rhizosphere_GH"
"END12Zb","IH","DKC70-27","2","Rhizosphere","Rhizosphere","Hybrid","END12Zb_S288_L001_R1_001.fastq.gz","END12Zb_S288_L001_R2_001.fastq.gz","END","Rhizosphere_END"
"MMH-2GH-35Z","GH","B73xMo17","2","Rhizosphere","Rhizosphere","Hybrid","MMH-2GH-35Z_S58_L001_R1_001.trimmed.fastq.gz","MMH-2GH-35Z_S58_L001_R2_001.trimmed.fastq.gz","GH","Rhizosphere_GH"
"END15Rb","IH","DKC70-27","3","Root","Root","Hybrid","END15Rb_S258_L001_R1_001.fastq.gz","END15Rb_S258_L001_R2_001.fastq.gz","END","Root_END"
"MMH-2GH-16R","GH","Ph207xB73","1","Root","Root","Hybrid","MMH-2GH-16R_S84_L001_R1_001.trimmed.fastq.gz","MMH-2GH-16R_S84_L001_R2_001.trimmed.fastq.gz","GH","Root_GH"
