"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"591febffe1b05b07e10ade8c8dafc8f5","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae",NA,NA
"081302d1d3992786e81122448b12d7b1","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae",NA,NA
"cce163a308a5b8b0cbe375b1aa1a0846","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"19ac8a39d02a048db06b08ac5001ba11","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"6d86971ff4e149916aebe328b4602606","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41","uncultured proteobacterium"
"f2517b1f89d22294e938dbd83748a686","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"5e97405f58bdf3a15b44944af424b04c","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"693c718b5399c9672ccb31744afec2fd","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"d5b34ac7925dbf36ebd52d721f778600","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"2f40b9a21de328941e084b6130a4bb93","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"b449761bb48226a9de65067b3b8923e1","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"96a620a587aac252ba6f34d71a2c1622","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"f2a8c3574d19da0df98fa85d90386c32","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"ff2b9277e1c6a1c3cdde02a85f74fba6","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"f2979f5304ecd6127d14312e28b3ff5b","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"5b248ebe0b21c72fc0d23e249f3c8c0b","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"1a2565f62dc8d1b1b7dce7a234bfa509","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"542b974e36cc6aea99a7f2691807552a","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"bf78c4fbf323222c63594428404cc9e2","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"c2ee1a9a6715d9390d47af609d33134c","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"f6a9b4549f002b7c3279696159f5fc9a","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"08e1ab6fc7cb3148bb6471d625c087a7","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"bdfb1dd66847bf34a8759d45a407aabd","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"24b99be5b82131ebf37e15f14b0d4f6a","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"9cceb8958ba659627f3d6c5f52b945d1","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41","uncultured Acidobacteriaceae bacterium"
"873d1a194c45598350061c5b9a24f00a","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41","uncultured Acidobacteriaceae bacterium"
"9de1be017dad73026e1b97b4401803e6","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41","uncultured Acidobacteriaceae bacterium"
"cda3feb80ecdc77d2b872994c1cd0dbb","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"295c6ff04a0a31d131205bfd5dbd4ab9","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"b63c8381033ae60cc2856af9fc864730","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"54395f8940136256992b98e0df0f11f8","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"c8e634f7f48a12ec5a6596c02d5693cb","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41","uncultured Acidobacteriales bacterium"
"b122b4e46dda9d6ec57a63947bbb54f2","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"d65b81064d44a52752f9a47e49b9e41c","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"0dea009959e864e3f8aefd3f9677d902","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"5efd839bdb627a218862fe9112527aa2","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"496f4479dfac22ddc35e5728f0c976c6","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"31f25acc382ee63ea5c2639553d0b406","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","uncultured",NA,NA
"714a1848649b451412d4daa6b9acc5e3","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","uncultured",NA,NA
"632413e6d6aa77df3f9d584d6c7c07ff","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","uncultured",NA,NA
"d22364de3c153bc5cf94366ef2bf2d57","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","uncultured",NA,NA
"37e5ceab7a605656a8508c3c6223ea4a","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","uncultured",NA,NA
"db1e29fc3cb61dad9a152d3dc2ea90f1","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","uncultured","Acidobacteria bacterium LWQ13","Acidobacteria bacterium LWQ13"
"66a2354e930b5fa36b4d4a7e87b4ec72","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","uncultured",NA,NA
"93c654a8f5b802fd5ee499be76369066","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","uncultured",NA,NA
"07a314b6d204d004a53ada9a9babacaf","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","uncultured",NA,NA
"10237b1c978392b12157070a59b17237","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","uncultured",NA,NA
"fb6ab2daea321b883a99d7f5d09a3c8a","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","uncultured",NA,NA
"fe42ab09f0a711bd5a17e9101fdb9939","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","uncultured",NA,NA
"8e3543bb27c61bf1616aa1ee5bc36243","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","uncultured",NA,NA
"10eb0836845979a31900c37bf4104dc1","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","uncultured",NA,NA
"54f294731fa564cccf2c535aa44b19a4","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","uncultured",NA,NA
"090ab227ece45bbcaab1e166d06e8ef6","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Edaphobacter","uncultured Acidobacterium sp."
"0e1740453f61fc5bda28913b0f7ec2e4","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Edaphobacter",NA
"bc851c886fce3dee951562162c80eae6","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Edaphobacter",NA
"c968a24defa6cfdda5a32b764efdb51a","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)",NA,NA
"fbe0d80c41191077dd4c2cb02aac7105","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Granulicella","Edaphobacter sp."
"03649014667576d9bd67e9e3f89b2810","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)",NA,NA
"5edf80b0983f175485013ce5592aa6dd","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)",NA,NA
"f902947e368d991a7efdc0f90870e219","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","uncultured","Acidobacteria bacterium AB60"
"93f8cd1dfb674506637b21308aeffa69","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)",NA,NA
"d1ad97ef792710eb6aab13404b08f48f","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Acidipila",NA
"09842a93670750b1ebe07520e1b204d3","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Acidipila",NA
"a1b3ea439efaf7502be6b6e4f6184d53","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Acidipila",NA
"fa3cb9ccea6f452d207a773e3792eb0b","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)",NA,NA
"445b2b1192443cbe8687f620bc1b679d","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Acidipila",NA
"4ec49792ba8fe33c9cdbc33d25fe196d","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)",NA,NA
"1d3377d99b8375d820db14cf9a8c236b","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)",NA,NA
"f1ac0b9c5cad0152172c5d2750260d1d","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Terriglobus",NA
"1d08869c0faffa411fdea44ec2158978","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Granulicella","bacterium enrichment culture clone auto193_4W"
"134d0be03e2cb34fbcd5842e9e2e0296","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Granulicella",NA
"cdbea3e0ef2a5c2f9c38d7b86fa6204f","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","uncultured","uncultured Armatimonadetes bacterium"
"bb53c40dd58053922a359f7025a84a44","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","uncultured",NA
"410cab75ed0edc949c3ffe264782adbd","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Occallatibacter","bacterium enrichment culture clone auto19_4W"
"47d2a6779ba029968259129b85a8dee4","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)",NA,NA
"7669fe2f2c8147f72de0e515e74a9448","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)",NA,NA
"1f02ded611f4a5422058a3c2e07bf26a","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Acidipila",NA
"cc4579376fabbe3bcf603ab73cd3f764","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Acidipila",NA
"ac9b752666da706427c120bdaf530e6f","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)",NA,NA
"9887488d5d70e99f8f5f620648700871","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)",NA,NA
"6369870f74b862dea4d7469a1dc82221","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)",NA,NA
