"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"f9f37b83c292c1867a38fbc104c829f4",5.22355796726122,-2.96325254504785,0.256691274608542,-11.544033000603,7.91263499567678e-31,5.7817075512965e-30,"Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45",NA,NA
"4743c1c4700cfbfa21f05dc7ee7143fb",4.67760914977926,-2.75163653311274,0.277650038716743,-9.91044894439919,3.74957488680617e-23,1.85717199091473e-22,"Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45",NA,NA
"c7536db90f6b5182485598078d6a2e27",2.41749776292128,-1.08416334025007,0.213368941818395,-5.08116753549278,3.75122088892781e-07,7.88718238184822e-07,"Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","uncultured bacterium","uncultured bacterium"
"7a87cdda8974d360a9544ad34d5ef425",4.10968132001316,-0.861170454922623,0.246880847058279,-3.48820277143384,0.00048627914494548,0.000836536151444672,"Bacteria","Chloroflexi","JG30-KF-CM66","uncultured Caldilinea sp.","uncultured Caldilinea sp.","uncultured Caldilinea sp.","uncultured Caldilinea sp."
"1feaf0f39e7e4d010bb6e9c6ac2a16b7",2.26551283394705,-1.39640989255358,0.217784060135487,-6.41190127360493,1.43715899728685e-10,3.65732186206101e-10,"Bacteria","Chloroflexi","Ktedonobacteria","C0119","uncultured soil bacterium","uncultured soil bacterium","uncultured soil bacterium"
"76039d1487adc15857a48f3976eac39a",1.6837977351286,-1.06035974788785,0.227649397032714,-4.65786319537439,3.19508411475631e-06,6.5137350184811e-06,"Bacteria","Chloroflexi","Chloroflexia","Kallotenuales","AKIW781",NA,NA
"40eabb85df184596d4c7d8a73d62444b",12.7481068797014,-3.93798330304853,0.305337901214052,-12.8971322832532,4.67160405228783e-38,4.42005614178003e-37,"Bacteria","Rokubacteria","NC10","Rokubacteriales","metagenome","metagenome","metagenome"
"7d9b831a62293221b3a90f782fb58b0c",2.2506813715638,-0.957730133899428,0.22170376488035,-4.31986409620198,1.56125320035352e-05,3.07254629829573e-05,"Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","0319-6G20","uncultured Syntrophobacteraceae bacterium","uncultured Syntrophobacteraceae bacterium"
"54275fed0a52eb81bb8d7e50e8ef7c4f",30.5328144416236,6.52110424681239,0.344793911518298,18.9130492997883,8.90551473720311e-80,3.86604110356229e-78,"Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","Siphonobacter",NA
"82602f53725970c69e0ac88ce6a1a26c",2.37415195380521,2.35085809429566,0.259758336029198,9.05017382784364,1.4274092688297e-19,5.72515239345823e-19,"Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Spirosoma","Spirosoma oryzae"
"ce563d75a36fdfe51d73bde7edb1510a",77.5301699086076,6.51852236158824,0.373548840873303,17.4502545539932,3.42702082534041e-68,1.05380890379218e-66,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium",NA
"b71075afb53551f10590d37648ffef99",2.30827543929679,2.12393646136546,0.252296928786292,8.41839998442685,3.81660795934865e-17,1.36070370724604e-16,"Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","env.OPS 17","uncultured eubacterium env.OPS 17","uncultured eubacterium env.OPS 17"
"e1a7b8a03cfafc3e2d57f4d7569232a5",27.6748491638551,-3.17638180610953,0.288133544917259,-11.0239916946209,2.92781114888032e-28,1.84677318621682e-27,"Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter",NA
"6b8c318ff7e101c14627053d52ef1565",1.755095103332,-1.06415350416615,0.246762953954509,-4.31245244520102,1.6145361600965e-05,3.1689566121043e-05,"Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter",NA
"ee5ed45abe3ff2a799b0aa0ddbd8327d",60.1995517334967,7.45910955282268,0.372218446404427,20.0396020801132,2.48748192918754e-89,2.03973518193378e-87,"Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA
